Origin,Dest,Cancelled,Diverted,ArrDelay_YN,DepDelay_YN,Flights_Count,Origin_airport,Origin_city,Origin_state,Origin_lat,Origin_long,Dest_airport,Dest_city,Dest_state,Dest_lat,Dest_long
ABE,ATL,0.016412661195779603,0.004689331770222743,0.47245017584994137,0.37280187573270807,853,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ABQ,ATL,0.005623242736644799,0.0037488284910965324,0.34395501405810686,0.2380506091846298,1067,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ABY,ATL,0.015525114155251141,0.0009132420091324201,0.4785388127853881,0.3461187214611872,1095,Southwest Georgia Regional,Albany,GA,31.535515000000004,-84.19447333,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ACY,ATL,0.02654867256637168,0.008849557522123894,0.21238938053097345,0.36283185840707965,113,Atlantic City International,Atlantic City,NJ,39.45758333,-74.57716667,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AEX,ATL,0.021363173957273652,0.00508646998982706,0.5513733468972533,0.3621566632756867,983,Alexandria International,Alexandria,LA,31.32737167,-92.54855611,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AGS,ATL,0.018487394957983194,0.0008403361344537816,0.44201680672268906,0.2827731092436975,2380,Bush ,Augusta,GA,33.369955,-81.96449611,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ALB,ATL,0.016464471403812825,0.005199306759098787,0.5935875216637782,0.4341421143847487,1154,Albany Cty,Albany,NY,42.74811944,-73.80297861,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ASE,ATL,0.125,0.0,0.3125,0.375,16,Aspen-Pitkin Co/Sardy ,Aspen,CO,39.22316,-106.868845,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATW,ATL,0.03095558546433378,0.0026917900403768506,0.48183041722745623,0.3876177658142665,743,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,ATL,0.012877442273534635,0.004440497335701598,0.5830373001776199,0.32149200710479575,2252,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AVL,ATL,0.01652892561983471,0.0010330578512396695,0.35588842975206614,0.26291322314049587,1936,Asheville Regional,Asheville,NC,35.43619444,-82.54180556,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AVP,ATL,0.027303754266211604,0.0034129692832764505,0.4351535836177474,0.44368600682593856,586,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,41.33814944,-75.72426750000001,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BDL,ATL,0.015413358243811303,0.002335357309668379,0.5203176085941149,0.36478281177020083,2141,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BGR,ATL,0.040740740740740744,0.011111111111111112,0.5703703703703704,0.6407407407407407,270,Bangor International,Bangor,ME,44.80744444,-68.82813889,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BHM,ATL,0.014603616133518776,0.0,0.4429763560500695,0.2826842837273992,2876,Birmingham International,Birmingham,AL,33.56294306,-86.75354972,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BMI,ATL,0.02031063321385902,0.0031859816806053365,0.4536041417761848,0.320589406610912,2511,Central Illinois Regional,Bloomington,IL,40.47798556,-88.91595278,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BNA,ATL,0.015821762996448177,0.0012915724895059735,0.4572166612851146,0.36745237326444946,3097,Nashville International,Nashville,TN,36.12447667,-86.67818222,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BOI,ATL,0.0,0.024390243902439025,0.0975609756097561,0.024390243902439025,41,Boise Air Terminal,Boise,ID,43.56444444,-116.22277779999999,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BOS,ATL,0.013206285523236376,0.004179204279505183,0.48311601471079907,0.38164493480441325,5982,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BQK,ATL,0.02054054054054054,0.0,0.3924324324324324,0.2789189189189189,925,Glynco Jetport,Brunswick,GA,31.25902778,-81.46630556,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BTR,ATL,0.024408561772437103,0.001877581674802854,0.46564025535110776,0.3188133683815246,2663,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,30.53316083,-91.14963444,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
BTV,ATL,0.014,0.002,0.584,0.512,500,Burlington International,Burlington,VT,44.47300361,-73.1503125,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
