Origin,Count,Carrier,Weather,NationalAirSystem,Security,Cancelled,CancelRate,iata,airport,city,state,lat,long
ASE,5307,58.0,408.0,20.0,0.0,486.0,0.09157716223855286,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,39.22316,-106.868845
SPI,1225,41.0,17.0,52.0,0.0,110.0,0.08979591836734693,SPI,Capital,Springfield,IL,39.84395194,-89.67761861
AZO,3924,70.0,104.0,140.0,0.0,314.0,0.0800203873598369,AZO,Kalamazoo County,Kalamazoo,MI,42.234875,-85.55205749999999
DBQ,1349,2.0,58.0,33.0,0.0,93.0,0.06893995552260934,DBQ,Dubuque Municipal,Dubuque,IA,42.40295944,-90.70916722
RST,3353,37.0,94.0,79.0,0.0,210.0,0.06263048016701461,RST,Rochester International,Rochester,MN,43.90882639,-92.49798722
SUN,2871,26.0,152.0,1.0,0.0,179.0,0.062347614071752,SUN,Friedman Memorial,Hailey,ID,43.50484139,-114.29659029999999
SBN,5319,118.0,80.0,129.0,0.0,327.0,0.06147772137619854,SBN,South Bend Regional,South Bend,IN,41.70895361,-86.31847417
TOL,1478,13.0,27.0,42.0,0.0,82.0,0.05548037889039242,TOL,Toledo Express,Toledo,OH,41.58680556,-83.80783333
LSE,2005,11.0,51.0,49.0,0.0,111.0,0.05536159600997506,LSE,La Crosse Municipal,La Crosse,WI,43.87937972,-91.25653778
FLG,1871,67.0,26.0,9.0,0.0,102.0,0.05451630144307857,FLG,Flagstaff Pulliam,Flagstaff,AZ,35.13845472,-111.67121829999999
MBS,2918,53.0,37.0,68.0,0.0,158.0,0.05414667580534613,MBS,Mbs International,Saginaw,MI,43.53291472,-84.07964722
CWA,2563,40.0,44.0,54.0,0.0,138.0,0.053843152555598905,CWA,Central Wisconsin,Mosinee,WI,44.77761917,-89.66677944
PIA,5581,57.0,93.0,150.0,0.0,300.0,0.05375380756136893,PIA,Greater Peoria Regional,Peoria,IL,40.66424333,-89.69330556
ATW,5873,105.0,96.0,110.0,0.0,311.0,0.05295419717350588,ATW,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556
CMI,2774,22.0,67.0,54.0,0.0,143.0,0.051550108147080026,CMI,University of Illinois-Willard,Champaign/Urbana,IL,40.03925,-88.27805556
OME,1090,20.0,35.0,0.0,0.0,55.0,0.05045871559633028,OME,Nome,Nome,AK,64.51220222,-165.4452458
CID,9377,123.0,214.0,123.0,0.0,460.0,0.04905620134371334,CID,Eastern Iowa ,Cedar Rapids,IA,41.88458833,-91.71087222
FWA,6144,84.0,94.0,120.0,0.0,298.0,0.048502604166666664,FWA,Fort Wayne International,Fort Wayne,IN,40.97846583,-85.19514639
LGA,119135,1993.0,1833.0,1927.0,0.0,5753.0,0.048289755319595416,LGA,LaGuardia,New York,NY,40.77724306,-73.87260917
BMI,4801,47.0,89.0,89.0,0.0,225.0,0.04686523640908144,BMI,Central Illinois Regional,Bloomington,IL,40.47798556,-88.91595278
GRB,7930,83.0,122.0,160.0,0.0,365.0,0.046027742749054225,GRB,Austin Straubel International,Green Bay,WI,44.48507333,-88.12959000000001
MSN,13961,134.0,300.0,200.0,0.0,634.0,0.045412219755031874,MSN,Dane County Regional,Madison,WI,43.13985778,-89.33751361
LAN,3693,60.0,37.0,70.0,0.0,167.0,0.04522068778770647,LAN,Capital City,Lansing,MI,42.7787,-84.58735806
CEC,1063,11.0,21.0,16.0,0.0,48.0,0.045155221072436504,CEC,Jack McNamara ,Crescent City,CA,41.78015722,-124.23653329999999
TXK,1250,20.0,36.0,0.0,0.0,56.0,0.0448,TXK,Texarkana Regional-Webb ,Texarkana,AR,33.45370806,-93.99101999999999
